id;code;commercial_category;commercial_category_pt;equipment_group;equipment_group_pt;spec_set;spec_set_pt;detail;detail_pt;unit_perceived_value;relative_value;display_name;display_order;is_key_feature;show_in_pdf;show_in_compare;tooltip_pt
123;IN_0007;Finishing;Acabamento;Dashboard finish;Acabamento do painel;Soft-Touch;Soft-touch;;;100.00;0.00;;;;;;
121;IN_0005;Finishing;Acabamento;Door panel finish;Acabamento de portas dianteiras;Soft-touch;Soft-touch;;;100.00;0.00;;;;;;
122;IN_0006;Finishing;Acabamento;Door panel finish;Acabamento de portas traseiras;Soft-touch;Soft-touch;;;100.00;0.00;;;;;;
119;IN_0003;Finishing;Acabamento;Seat Material;Material dos bancos;Seat Material;Material dos bancos;Artificial leather;Sintético;0.00;1710.00;;;;;;
117;IN_0001;Finishing;Acabamento;Seat Material;Material dos bancos;Seat Material;Material dos bancos;Fabric;Tecido;0.00;0.00;;;;;;
118;IN_0002;Finishing;Acabamento;Seat Material;Material dos bancos;Seat Material;Material dos bancos;Fabric + artificial leather;Tecido + Sintético;0.00;730.00;;;;;;
120;IN_0004;Finishing;Acabamento;Seat Material;Material dos bancos;Seat Material;Material dos bancos;Leather;Couro;0.00;3190.00;;;;;;
159;IN_0037;Finishing;Acabamento;Steering Wheel;Volante;Leather SW;Volante em couro;;;260.00;0.00;;;;;;
193;CO_0007;Audio & Connectivity;Audio & Conectividade;Conectivity;Conectividade;Bluetooth;Bluetooth;;;200.00;0.00;;;;;;
192;CO_0006;Audio & Connectivity;Audio & Conectividade;Conectivity;Conectividade;Multi-zone voice assistant;Assistente de voz multi-zona;;;250.00;0.00;;;;;;
194;CO_0008;Audio & Connectivity;Audio & Conectividade;Conectivity;Conectividade;Telematics;Telemetria;;;1000.00;0.00;;;;;;
191;CO_0005;Audio & Connectivity;Audio & Conectividade;Conectivity;Conectividade;Voice recognition control;Controle de reconhecimento de voz;;;240.00;0.00;;;;;;
195;CO_0009;Audio & Connectivity;Audio & Conectividade;Conectivity;Conectividade;Wi-Fi;Wi-Fi;;;500.00;0.00;;;;;;
220;CO_0030;Audio & Connectivity;Audio & Conectividade;Sound system;Sistema de som;Exterior amplifier;Amplificador exterior;;;600.00;0.00;;;;;;
221;CO_0031;Audio & Connectivity;Audio & Conectividade;Sound system;Sistema de som;Four Audio Zones(Voice command);Comando de voz de quatro zonas;;;100.00;0.00;;;;;;
216;CO_0026;Audio & Connectivity;Audio & Conectividade;Sound system;Sistema de som;Premium sound;Som premium;;;1710.00;0.00;;;;;;
