brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
Omoda;E5;EV;I/OMODA E5;2526;Omoda E5 EV 2526;209990;;;;;;;;;;;202506
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;2526;Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;229990;;;;;;;;;;;202506
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;2526;Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;249990;;;;;;;;;;;202506
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;2526;GAC GS4 Premium 2.0 HEV CVT 2526;189990;;;;;;;;;;;202506
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2526;GAC GS4 Elite 2.0 HEV CVT 2526;199990;;;;;;;;;;;202506
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2526;GAC Aion V Elite EV 2526;214990;;;;;;;;;;;202506
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";2525;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;220000;0;15000;0,006024;11700;1;0;0;5000;26700;;202506
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";2425;GWM Haval H6 19 1.5 TGDI PHEV DHT 2425;245000;;15000;0,006024;13000;1;0;0;5000;28000;;202506
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";2525;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;245000;;15000;0,006024;13000;1;0;0;5000;28000;;202506
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;2525;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;288000;0;25000;0,006024;15300;1;0;0;10000;40300;;202506
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;2525;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;325000;;;;;;;;;;;202506
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;2425;BYD Song Pro GL 1.5 PHEV DHT 2525;194800;;;;;;;;;;;202506
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;2425;BYD Song Pro GS 1.5 PHEV DHT 2525;204800;;;;;;;;;;;202506
Toyota;Corolla Cross;XRX 1.8 HEV CVT;TOYOTA/CCROSS XRX HYBRID;2526;Toyota Corolla Cross XRX 1.8 HEV CVT 2526;219890;;;;;;;;;;;202506
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;2526;Toyota Corolla Cross XR 2.0 CVT 2526;179190;;;;;;;;;;;202506
Toyota;Corolla Cross;XRE 2.0 CVT;TOYOTA/CCROSS XRE 20;2526;Toyota Corolla Cross XRE 2.0 CVT 2526;191190;;;;;;;;;;;202506
Toyota;Corolla Cross;XRX 2.0 CVT;TOYOTA/CCROSS XRX 20;2526;Toyota Corolla Cross XRX 2.0 CVT 2526;207990;;;;;;;;;;;202506
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;2525;Jeep Compass Sport 1.3 TGDI AT 2525;186990;;;;;;;;;;;202506
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;2525;Jeep Compass Longitude 1.3 TGDI AT 2525;208990;;;;;;;;;;;202506
Jeep;Compass;Limited 1.3 TGDI AT;JEEP/COMPASS LIMITED T;2525;Jeep Compass Limited 1.3 TGDI AT 2525;227990;;;;;;;;;;;202506
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2525;Jeep Compass Serie S 1.3 TGDI AT 2525;247990;;;;;;;;;;;202506
Jeep;Compass;Overland 2.0 TGDI AT;JEEP/COMPASS OVERLA 2.0T;2525;Jeep Compass Overland 2.0 TGDI AT 2525;272990;;;;;;;;;;;202506
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;2525;Jeep Compass Blackhawk 2.0 TGDI AT 2525;291990;;;;;;;;;;;202506
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;2525;VW Taos Comfortline 1.4 TGDI AT 2525;203990;;;;;;;;;;;202506
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;2525;VW Taos Highline 1.4 TGDI AT 2525;228690;;;;;;;;;;;202506
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;2525;BYD Yuan Plus GL EV 2525;235800;;;;;;;;;;;202506
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;2525;BYD Yuan Pro GS EV 2525;182800;;;;;;;;;;;202506
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;2525;BYD Dolphin Mini GS EV 2525;122800;;;;;;;;;;;202506
