brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;down_payment_percent;installments;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
Omoda;E5;EV;I/OMODA E5;25/26;Omoda E5 EV 2526;R$209.990;;;;;;;;;;;;;202506
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;25/26;Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;R$229.990;;;;;;;;;;;;;202506
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;25/26;Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;R$249.990;;;;;;;;;;;;;202506
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;25/26;GAC GS4 Premium 2.0 HEV CVT 2526;R$189.990;;;;;;;;;;;;;202506
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;25/26;GAC GS4 Elite 2.0 HEV CVT 2526;R$199.990;;;;;;;;;;;;;202506
GAC;Aion V;Elite EV;I/GAC AION V ELITE;25/26;GAC Aion V Elite EV 2526;R$214.990;;;;;;;;;;;;;202506
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";25/25;GWM Haval H6 2 1.5 TGDI HEV DHT 2525;R$220.000;R$0;R$15.000;0,00;60;24;R$11.700;1Y;R$0;R$0;R$5.000;R$26.700;;202506
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";24/25;GWM Haval H6 19 1.5 TGDI PHEV DHT 2425;R$245.000;;R$15.000;0,00;60;24;R$13.000;1Y;R$0;R$0;R$5.000;R$28.000;;202506
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";25/25;GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;R$245.000;;R$15.000;0,00;60;24;R$13.000;1Y;R$0;R$0;R$5.000;R$28.000;;202506
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;25/25;GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;R$288.000;R$0;R$25.000;0,00;60;24;R$15.300;1Y;R$0;R$0;R$10.000;R$40.300;;202506
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;25/25;GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;R$325.000;;;;;;;;;;;;;202506
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;24/25;BYD Song Pro GL 1.5 PHEV DHT 2525;R$194.800;;;;;;;;;;;;;202506
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;24/25;BYD Song Pro GS 1.5 PHEV DHT 2525;R$204.800;;;;;;;;;;;;;202506
Toyota;Corolla Cross;XRX 1.8 HEV CVT;TOYOTA/CCROSS XRX HYBRID;25/26;Toyota Corolla Cross XRX 1.8 HEV CVT 2526;R$219.890;;;;;;;;;;;;;202506
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;25/26;Toyota Corolla Cross XR 2.0 CVT 2526;R$179.190;;;;;;;;;;;;;202506
Toyota;Corolla Cross;XRE 2.0 CVT;TOYOTA/CCROSS XRE 20;25/26;Toyota Corolla Cross XRE 2.0 CVT 2526;R$191.190;;;;;;;;;;;;;202506
Toyota;Corolla Cross;XRX 2.0 CVT;TOYOTA/CCROSS XRX 20;25/26;Toyota Corolla Cross XRX 2.0 CVT 2526;R$207.990;;;;;;;;;;;;;202506
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;25/25;Jeep Compass Sport 1.3 TGDI AT 2525;R$186.990;;;;;;;;;;;;;202506
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;25/25;Jeep Compass Longitude 1.3 TGDI AT 2525;R$208.990;;;;;;;;;;;;;202506
Jeep;Compass;Limited 1.3 TGDI AT;JEEP/COMPASS LIMITED T;25/25;Jeep Compass Limited 1.3 TGDI AT 2525;R$227.990;;;;;;;;;;;;;202506
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;25/25;Jeep Compass Serie S 1.3 TGDI AT 2525;R$247.990;;;;;;;;;;;;;202506
Jeep;Compass;Overland 2.0 TGDI AT;JEEP/COMPASS OVERLA 2.0T;25/25;Jeep Compass Overland 2.0 TGDI AT 2525;R$272.990;;;;;;;;;;;;;202506
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;25/25;Jeep Compass Blackhawk 2.0 TGDI AT 2525;R$291.990;;;;;;;;;;;;;202506
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;25/25;VW Taos Comfortline 1.4 TGDI AT 2525;R$203.990;;;;;;;;;;;;;202506
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;25/25;VW Taos Highline 1.4 TGDI AT 2525;R$228.690;;;;;;;;;;;;;202506
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;25/25;BYD Yuan Plus GL EV 2525;R$235.800;;;;;;;;;;;;;202506
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;25/25;BYD Yuan Pro GS EV 2525;R$182.800;;;;;;;;;;;;;202506
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;25/25;BYD Dolphin Mini GS EV 2525;R$122.800;;;;;;;;;;;;;202506
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;25/25;BYD Dolphin GS EV 2525;R$159.800;;;;;;;;;;;;;202506
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;25/25;BYD Dolphin Plus EV 2525;R$184.800;;;;;;;;;;;;;202506
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;25/26;GWM Ora 03 Skin EV 2526;R$169.000;;;;;;;;;;;;;202506
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;25/26;GWM Ora 03 GT EV 2526;R$199.000;;;;;;;;;;;;;202506
Volvo;EX30;Core EV;I/VOLVO EX30 E40 CORE;24/24;Volvo EX30 Core EV 2424;R$229.950;;;;;;;;;;;;;202506
Volvo;EX30;Core ER EV;I/VOLVO EX30 E60 CORE;24/24;Volvo EX30 Core ER EV 2424;R$249.950;;;;;;;;;;;;;202506
Volvo;EX30;Plus EV;I/VOLVO EX30 E60 PLUS;24/24;Volvo EX30 Plus EV 2424;R$269.950;;;;;;;;;;;;;202506
Volvo;EX30;Ultra EV;I/VOLVO EX30 E60 ULTRA;24/24;Volvo EX30 Ultra EV 2424;R$299.950;;;;;;;;;;;;;202506
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;24/25;BYD Song Pro GL 1.5 PHEV DHT 2425;R$194.800;R$15.000;R$0;0,00;00;00;R$0;1Y;YES;R$0;R$0;R$0;Insurance OR IPVA;202506
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;24/25;BYD Song Pro GS 1.5 PHEV DHT 2425;R$204.800;R$20.000;R$0;0,00;75;12;R$0;1Y;R$0;R$0;R$0;R$0;0;202506
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;25/26;BYD Song Pro GS 1.5 PHEV DHT 2526;R$199.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202506
BYD;Song Plus;GS 1.5 PHEV DHT;I/BYD SONG PLUS GS DM;25/26;BYD Song Plus GS 1.5 PHEV DHT 2526;R$249.990;R$0;R$20.000;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;Song old models;202506
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;25/26;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;R$299.800;R$0;R$20.000;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;Song old models;202506
Omoda;C5;Comfort 1.5 TGDI HEV DHT;;25/26;Omoda C5 Comfort 1.5 TGDI HEV DHT 2526;R$149.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Omoda;C5;Luxury 1.5 TGDI HEV DHT;I/OMODA 5 HEV LUXURY;25/26;Omoda C5 Luxury 1.5 TGDI HEV DHT 2526;R$159.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Omoda;C5;Prestige 1.5 TGDI HEV DHT;I/OMODA 5 HEV PRESTIGE;25/26;Omoda C5 Prestige 1.5 TGDI HEV DHT 2526;R$191.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Omoda;C7;Luxury 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV LUXURY;25/26;Omoda C7 Luxury 1.5 TGDI PHEV DHT 2526;R$254.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Omoda;C7;Prestige 1.5 TGDI PHEV DHT;I/OMODA 7 PHEV PRESTIGE;25/26;Omoda C7 Prestige 1.5 TGDI PHEV DHT 2526;R$279.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Honda;HR-V;EX 1.5 CVT;"HONDA/HR-V EX;HONDA/HR-V EX HS";25/25;Honda HR-V EX 1.5 CVT 2525;R$156.100;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Honda;HR-V;EXL 1.5 CVT;"HONDA/HR-V EXL;HONDA/HR-V EXL HS";25/25;Honda HR-V EXL 1.5 CVT 2525;R$165.900;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Honda;HR-V;Advance 1.5 TGDI CVT;HONDA/HR-V ADVANCE;25/25;Honda HR-V Advance 1.5 TGDI CVT 2525;R$192.700;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
Honda;HR-V;Touring  1.5 TGDI CVT;HONDA/HR-V TOURING;25/25;Honda HR-V Touring  1.5 TGDI CVT 2525;R$204.200;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;25/25;BYD Dolphin Mini GS EV 2525;R$122.800;R$3.000;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$6.000;R$6.000;0;202507
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;25/25;BYD Dolphin GS EV 2525;R$159.800;R$20.000;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$3.000;R$3.000;0;202507
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;25/25;BYD Dolphin Plus EV 2525;R$184.800;R$15.000;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;25/25;BYD Yuan Plus GL EV 2525;R$235.800;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;25/25;BYD Yuan Pro GS EV 2525;R$182.800;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;25/26;BYD Yuan Plus GL EV 2526;R$249.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;25/26;BYD Song Plus Premium 1.5 TGDI PHEV DHT 2526;R$299.800;R$0;R$7.000;0,00;00;00;R$0;1Y;R$7.000;R$0;R$0;R$0;0;202507
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;25/25;BYD Song Pro GL 1.5 PHEV DHT 2525;R$194.800;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;25/26;BYD Song Pro GS 1.5 PHEV DHT 2526;R$204.800;R$10.000;R$0;0,00;00;00;R$0;1Y;R$0;R$0;R$0;R$0;0;202507
GAC;Aion V;Elite EV;I/GAC AION V ELITE;25/26;GAC Aion V Elite EV 2526;R$214.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;25/26;GAC GS4 Premium 2.0 HEV CVT 2526;R$189.990;R$0;R$0;0,00;00;00;R$0;0Y;R$0;R$0;R$0;R$0;0;202507
