brand;model;version;renavam_reference;model_year;production_year;is_active
Omoda;E5;EV;I/OMODA E5;2026;2025;true
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;2026;2025;true
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;2026;2025;true
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;2026;2025;true
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2026;2025;true
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2026;2025;true
GWM;Haval H6;2 1.5 TGDI HEV DHT;"I/GWM HAVAL H6 PREM HEV;I/GWM HAVAL H6 HEV2";2025;2025;true
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";2025;2024;true
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19";2025;2025;true
GWM;Haval H6;34 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 PREM PHEV;2025;2025;true
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;2025;2025;true
BYD;Song Pro;GL 1.5 PHEV DHT;I/BYD SONG PRO GL DM;2025;2024;true
BYD;Song Pro;GS 1.5 PHEV DHT;I/BYD SONG PRO GS DM;2025;2024;true
Toyota;Corolla Cross;XRX 1.8 HEV CVT;TOYOTA/CCROSS XRX HYBRID;2026;2025;true
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;2026;2025;true
Toyota;Corolla Cross;XRE 2.0 CVT;TOYOTA/CCROSS XRE 20;2026;2025;true
Toyota;Corolla Cross;XRX 2.0 CVT;TOYOTA/CCROSS XRX 20;2026;2025;true
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;2025;2025;true
Jeep;Compass;Longitude 1.3 TGDI AT;JEEP/COMPASS LONG T;2025;2025;true
Jeep;Compass;Limited 1.3 TGDI AT;JEEP/COMPASS LIMITED T;2025;2025;true
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2025;2025;true
Jeep;Compass;Overland 2.0 TGDI AT;JEEP/COMPASS OVERLA 2.0T;2025;2025;true
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;2025;2025;true
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;2025;2025;true
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;2025;2025;true
BYD;Yuan Plus;GL EV;I/BYD YUAN PLUS GL 310EV;2025;2025;true
BYD;Yuan Pro;GS EV;I/BYD YUAN PRO GS 290EV;2025;2025;true
BYD;Dolphin;Mini GS EV;I/BYD DOLPHIN MINI GS EV;2025;2025;true
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;2025;2025;true
BYD;Dolphin;Plus EV;I/BYD DOLPHIN PLUS 310EV;2025;2025;true
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;2026;2025;true
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;2026;2025;true
Volvo;EX30;Core EV;I/VOLVO EX30 E40 CORE;2024;2024;true
Volvo;EX30;Core ER EV;I/VOLVO EX30 E60 CORE;2024;2024;true
