BANDEIRA;TIPO_VENDA;TIPO_VENDA_AJUSTADA;ANO_FABRICACAO;ANO_MODELO;COMBUSTIVEL;COMBUSTIVEL_AGREGADO;FAMILY;MODELO_VERSAO;RENAVAN;PRODUCT SEGMENT NEOCOM;Ano;Mes;TIV;Nome AOP;Município
FABRICAÇÃO PRÓPRIA;VAREJO;VAREJO;1959;1959;GASOLINA;FLEX/ÁLCOOL/GASOLINA;;I/FACEL VEGA;100014;;2026;maio;1;São Paulo;São Paulo
GM;VAREJO;VAREJO;1982;1982;GASOLINA;FLEX/ÁLCOOL/GASOLINA;CORVETTE;I/CHEVROLET CORVETTE;100028;OUTROS;2026;maio;1;Londrina;Ibaiti
GM;VAREJO;VAREJO;1994;1994;GASOLINA;FLEX/ÁLCOOL/GASOLINA;CORVETTE;I/CHEVROLET CORVETTE CON;100052;OUTROS;2026;maio;1;São Paulo;Osasco
ALFA ROMEO;VAREJO;VAREJO;1993;1994;GASOLINA;FLEX/ÁLCOOL/GASOLINA;SPIDER CONVERSIVEL;I/ALFA ROMEO SPIDER CONV;100086;OUTROS;2026;maio;1;São Paulo;São Paulo
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Bauru;Borebi
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Brasília;Brasília
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Campinas;Campinas
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Campo Mourão;Goioerê
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;2;Cascavel;Vera Cruz do Oeste
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Caxias do Sul;Flores da Cunha
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Caxias do Sul;Nova Prata
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Curitiba;Paranaguá
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Feira de Santana;Feira de Santana
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Fortaleza;Quixadá
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Goiânia;Pires do Rio
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;2;Guarulhos;Guarulhos
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Joinville;Joinville
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Londrina;Londrina
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Manaus;Manaus
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Marília;Quintana
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Maringá;Maringá
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Niterói;Niterói
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Patos de Minas;Carmo do Paranaíba
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Ponta Grossa;Castro
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Ponta Grossa;Telêmaco Borba
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Porto Velho;Porto Velho
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Presidente Prudente;Tarabai
GM;VAREJO;VAREJO;2025;2026;ÁLCOOL/GASOLINA;FLEX/ÁLCOOL/GASOLINA;ONIX;CHEV/ONIX 10TAT RS;100102;CAR B HATCH;2026;maio;1;Ribeirão Preto;Ribeirão Preto
