SC_0001;SC_0002;SC_0003;SC_0004;SC_0005;SC_0006;DM_0001;DM_0002;DM_0003;DM_0004;DM_0005;DM_0006;DM_0007;DM_0008;DM_0009;DM_0010;DM_0011;PW_0001;PW_0002;PW_0003;PW_0004;PW_0005;PW_0006;PW_0007;PW_0008;PW_0009;PW_0010;PW_0011;PW_0012;PW_0014;PW_0015;PW_0016;PW_0017;PW_0018;PW_0019;PW_0020;PW_0021;PW_0022;PW_0023;PW_0025;PW_0026;PW_0028;PW_0029;PW_0030;PW_0031;PW_0032;PW_0033;PW_0035;PW_0036;PW_0037;PW_0038;PW_0039;PW_0040;PW_0041;PW_0042;PW_0043;PW_0044;OW_0001;OW_0002;OW_0003;OW_0004;OW_0005;OW_0006;OW_0007;OW_0008;OW_0009;OW_0010;EX_0001;EX_0002;EX_0003;EX_0004;EX_0005;EX_0006;EX_0007;EX_0008;EX_0009;EX_0010;EX_0011;EX_0012;EX_0013;EX_0014;EX_0015;EX_0016;EX_0017;EX_0018;EX_0019;EX_0020;EX_0021;EX_0022;EX_0023;EX_0024;EX_0025;EX_0026;EX_0027;EX_0028;EX_0029;EX_0030;EX_0031;EX_0032;EX_0033;EX_0034;EX_0035;EX_0036;EX_0037;EX_0038;EX_0039;EX_0040;EX_0041;EX_0042;EX_0043;IN_0001;IN_0002;IN_0003;IN_0004;IN_0005;IN_0006;IN_0007;IN_0008;IN_0009;IN_0062;IN_0063;IN_0010;IN_0011;IN_0012;IN_0013;IN_0014;IN_0015;IN_0016;IN_0017;IN_0064;IN_0018;IN_0019;IN_0020;IN_0021;IN_0022;IN_0023;IN_0024;IN_0025;IN_0026;IN_0027;IN_0028;IN_0029;IN_0030;IN_0031;IN_0065;IN_0032;IN_0033;IN_0034;IN_0035;IN_0036;IN_0037;IN_0038;IN_0039;IN_0040;IN_0041;IN_0042;IN_0043;IN_0044;IN_0045;IN_0046;IN_0047;IN_0048;IN_0060;IN_0061;IN_0049;IN_0050;IN_0051;IN_0052;IN_0053;IN_0054;IN_0055;IN_0056;IN_0057;IN_0058;CO_0001;CO_0002;CO_0003;CO_0004;CO_0005;CO_0006;CO_0007;CO_0008;CO_0009;CO_0010;CO_0011;CO_0053;CO_0054;CO_0012;CO_0013;CO_0014;CO_0015;CO_0016;CO_0017;CO_0018;CO_0019;CO_0020;CO_0021;CO_0022;CO_0023;CO_0024;CO_0025;CO_0026;CO_0027;CO_0028;CO_0029;CO_0030;CO_0031;CO_0032;CO_0033;CO_0034;CO_0035;CO_0036;CO_0037;CO_0038;CO_0039;CO_0040;CO_0041;CO_0042;CO_0043;CO_0044;CO_0045;CO_0046;CO_0047;CO_0048;CO_0049;CO_0050;CO_0051;CO_0052;SF_0001;SF_0002;SF_0003;SF_0004;SF_0005;SF_0006;SF_0007;SF_0008;SF_0009;SF_0010;SF_0011;SF_0012;SF_0013;SF_0014;SF_0015;SF_0016;SF_0017;SF_0018;SF_0019;SF_0020;SF_0021;SF_0022;SF_0023;SF_0024;SF_0025;SF_0026;SF_0027;SF_0028;SF_0029;SF_0030;SF_0031;SF_0032;SF_0033;SF_0034;SF_0035;SF_0036;SF_0037;SF_0038;SF_0039;SF_0040;SF_0041;SF_0042;SF_0043;SF_0044;SF_0045;AD_0001;AD_0002;AD_0003;AD_0004;AD_0005;AD_0006;AD_0007;AD_0008;AD_0009;AD_0010;AD_0011;AD_0012;AD_0013;AD_0014;AD_0015;AD_0016;AD_0017;AD_0018;AD_0019;AD_0020;AD_0021;AD_0022;AD_0023;EX_0044;CO_0055;IN_0059
Omoda E5 EV 2526;Omoda;E5;EV;2025;2026;4424;1830;1588;2630;165;340;;1710;2246;536;2921;;;;S;;;;;;;;;;;;;;;;S;204;340;;;61,1;9,9;80;S;204;340;8,382352941;49,32218056;7,6;172;S;;;S;;S;0,51;44,7;35,2;;;;345;;7;8;S;18;215;215/55 R18;S;;;;S;S;S;S;;;S;;;S;S;;S;S;;S;S;S;S;S;;;;S;;;S;;;S;S;S;S;S;;;;S;;S;S;S;S;S;;;;;;;;;;;;;;S;;S;;S;;;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;;;S;S;S;;S;;S;;S;S;;S;;;1;1;1;1;1;1;;;S;12,3;S;12,3;;;;S;S;;S;6;2;;;;S;S;;;S;;;S;S;S;;4;;4;S;;;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;S;;S;S;S;;S;S;S;S;S;S;;S;S;S;S;S;S;S;S;S;;S;S;S;S;S;S;;;S;S;S;;;
Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;2025;2026;4500;1865;1670;2672;174;500;;1795;2210;415;2210;;;S;;1,5;;S;4;S;;135;200,2;5200;2500;;;;S;1;S;204;310,1;;;18,3;6,6;40;S;279;365;6,433691756;48,25268817;8,5;180;S;;;S;;S;0,6;15,1;13,5;;;60;79;1200;7;8;S;19;235;235/50 R19;;;;;S;S;S;S;S;;S;;;S;S;;;S;;S;S;;S;S;;;;S;;S;;;S;S;S;S;;;S;;;S;;S;S;S;S;S;;;;;;;;;;;;;S;S;S;S;;S;;;;;;;;;;S;;S;;S;;S;;;S;;S;;S;S;;;;S;;;S;;S;S;S;;S;;S;;S;S;;S;;;1;1;1;1;1;1;;;;10,25;;14,8;;;;S;S;;;6;;;;;S;S;;;S;;;S;S;S;;4;;4;S;;;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;;S;S;S;S;;;S;S;S;S;S;;S;S;;;;;S;S;S;S;S;S;S;;;;;;;;;;;
Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;2025;2026;4500;1865;1670;2672;174;500;;1795;2210;415;2210;;;S;;1,5;;S;4;S;;135;200,2;5200;2500;;;;S;1;S;204;310,1;;;18,3;6,6;40;S;279;365;6,433691756;48,25268817;8,5;180;S;;;S;;S;0,6;15,1;13,5;;;60;79;1200;7;8;S;19;235;235/50 R19;;;;;S;S;S;S;S;;S;;;S;S;;S;S;;S;S;;S;S;S;;;S;;S;;;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;;;;;S;;;;S;;;S;S;S;S;S;;S;S;S;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;S;;S;;S;S;;S;;;1;1;1;1;1;1;;;S;10,25;S;14,8;;;;S;S;;S;8;;;;;S;S;;;S;;;S;S;S;;4;;4;S;;;S;S;S;S;;S;;S;S;S;S;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;;S;S;S;S;;S;S;S;S;S;S;;S;S;;S;S;S;S;S;S;S;S;S;S;S;S;S;;;S;;S;;;
GAC GS4 Premium 2.0 HEV CVT 2526;GAC;GS4;Premium 2.0 HEV CVT;2025;2026;4680;1901;1660;2750;0;638;0;1641;0;0;0;0;S;0;0;2;0;0;4;S;0;140;180,3;6000;4500;0;0;S;0;0;S;182;299,1;0;0;2,1;0;0;0;235;480;6,982978723;33,55828221;8;180;S;0;0;S;0;S;0;14,1;11,8;0;0;50;0;705;5;8;S;18;235;235/60 R18;S;;;;S;;S;S;;;S;;;;S;;S;S;;S;S;;;;;;;;;S;;;;S;S;;;;S;S;;;;;;;S;;;;;;;;;;;;;;S;S;S;S;;;;;;S;S;;;;;S;;S;;;;S;;;S;;S;;;S;;;;;;;;;S;S;S;;;S;;;;;;S;S;;1;1;1;;1;1;;;;7;;10,1;;;;S;;;;4;;;;;S;S;;S;;;;;;S;;4;;4;S;;S;;S;;;S;;;S;S;S;S;S;S;;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;;S;;S;;;S;S;S;;;S;S;S;S;;;S;S;S;;;;S;;S;;S;S;S;;;;;S;;;;;;
GAC GS4 Elite 2.0 HEV CVT 2526;GAC;GS4;Elite 2.0 HEV CVT;2025;2026;4680;1901;1660;2750;0;638;0;1673;0;0;0;0;S;0;0;2;0;0;4;S;0;140;180,3;6000;4500;0;0;S;0;0;S;182;299,1;0;0;2,1;0;0;0;235;480;7,119148936;34,21267894;8;180;S;0;0;S;0;S;0;14,1;11,8;0;0;50;0;705;5;8;S;19;235;235/55 R19;S;;;;S;;S;S;;;S;;;;S;;S;S;;S;S;;S;S;;;;S;;S;;S;;S;S;;S;;S;;;S;;;;;S;S;;;;;;;;;;;;;S;S;S;S;;;;;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;;S;;;;;;;;;S;S;S;;;S;;;;;;S;S;;1;1;1;;1;1;S;;;10,25;S;10,1;;;;S;;;;6;;;;;S;S;;S;;;;S;;S;;4;;4;S;;S;;S;;;;S;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;;S;;;S;;S;S;S;;;S;S;S;S;;;S;S;S;S;S;S;S;;S;;S;S;S;;S;S;;;S;;;;;
GAC Aion V Elite EV 2526;GAC;Aion V;Elite EV;2025;2026;4605;1876;1686;2775;150;427;;1920;;;;;;;S;;;;;;;;;;;;;;;;S;204;240;;;75,3;6,6;180;S;204;240;9,411764706;78,36734694;7,9;160;S;;;S;;S;;;;;;;389;;8;8;S;19;225;225/45 R19;S;;;;S;S;S;S;;;S;;;;S;;;S;;S;S;;S;S;S;;;S;;S;;S;;S;S;S;S;S;;;;S;;S;S;S;S;S;;;;;;;;;S;S;;;S;S;S;S;;S;S;S;;S;S;S;S;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;;;S;S;S;;S;S;;;;;S;S;S;S;1;1;1;;1;1;S;;;8,8;;14,6;;;S;;S;S;;9;;;;;S;S;;;S;;;S;;S;;4;;4;S;;S;S;S;S;S;S;;;S;S;S;S;S;S;S;S;S;;S;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;;;S;;S;S;S;;;S;S;S;S;;;S;S;;S;S;;S;S;S;;S;S;S;S;;S;;;S;S;;;;
GWM Haval H6 2 1.5 TGDI HEV DHT 2525;GWM;Haval H6;2 1.5 TGDI HEV DHT;2025;2025;4683;1886;1730;2738;181;560;1445;1699;;420;750;;S;;;1.5;;S;4;S;;150;229,5;5500;1500;;;;S;2;S;177;299,8;;;1,6;;;;243;530;6,991769547;31,46296296;7,9;175;S;;;S;;S;1,65;13,8;12;;;60;;;5;8;S;19;225;225/55 R19;;;;;S;S;S;S;;;S;;;S;S;;;S;;S;S;;S;S;;;;;;;;;S;S;S;S;S;S;;;;S;;S;S;S;S;S;;;;;S;;;;;;;;S;S;;S;;;;;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;S;;S;S;S;2;2;;;1;1;S;;;10,25;S;12,3;;;;S;S;S;;4;4;;;;S;;;;S;;;S;S;S;;4;;4;S;;S;;S;S;S;;S;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;S;;S;;S;S;S;S;;S;S;S;S;S;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;S;S;S;;;
GWM Haval H6 19 1.5 TGDI PHEV DHT 2525;GWM;Haval H6;19 1.5 TGDI PHEV DHT;2025;2025;4683;1886;1730;2738;182;560;1445;1890;;420;750;;;S;;1.5;;S;4;S;;150;229,5;5500;1500;;;;S;2;S;177;299,8;;;19;6,6;33;;326;530;5,797546012;35;7,6;180;S;;;S;;S;0,6;13,6;12,3;;;55;74;;5;8;S;19;235;235/55 R19;;;;;S;S;S;S;;;S;;;S;S;;;S;;S;S;;S;S;;;;;;;;;S;S;S;S;S;S;;;;S;;S;S;S;S;S;;;;;S;;;;;;;;S;S;;S;;;;;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;S;;S;S;S;2;2;;;1;1;S;;;10,25;S;12,3;;;;S;S;S;;4;4;;;;S;;;;S;;;S;S;S;;4;;4;S;;S;;S;S;S;;S;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;S;;S;;S;S;S;S;;S;S;S;S;S;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;S;S;S;;;
GWM Haval H6 34 1.5 TGDI PHEV DHT 2525;GWM;Haval H6;34 1.5 TGDI PHEV DHT;2025;2025;4683;1886;1730;2738;182;560;1445;2040;;420;750;;;S;;1.5;;S;4;S;;150;229,5;5500;1500;;;;S;2;S;177;299,8;184;232,5;34;6,6;48;;393;762;5,190839695;26,25482625;4,9;180;;;S;S;;S;0,75;11,7;10,4;;;55;113;;5;8;S;19;235;235/55 R19;;;;;S;S;S;S;;;S;;;S;S;;;S;;S;S;;S;S;;;;;;;;;S;S;S;S;S;S;;;;S;;S;S;S;S;S;;;;;S;;;;S;;;;S;S;;S;;;;;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;S;;S;S;S;2;2;;;1;1;S;;;10,25;S;12,3;;;;S;S;S;;4;4;;;;S;;;;S;;;S;S;S;;4;;4;S;;S;;S;S;S;;S;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;S;;S;;S;S;S;S;;S;S;S;S;S;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;S;S;S;;;
GWM Haval H6 GT 1.5 TGDI PHEV DHT 2525;GWM;Haval H6;GT 1.5 TGDI PHEV DHT;2025;2025;4727;1940;1730;2738;172;515;1390;2050;;420;750;;;S;;1.5;;S;4;S;;150;229,5;5500;1500;;;;S;2;S;177;299,8;184;232,5;34;6,6;48;;393;762;5,216284987;26,38352638;4,8;180;;;S;S;;S;0,77;11,4;10,4;;;55;117;;5;8;S;19;235;235/55 R19;;;;;S;S;S;S;;;S;;;S;S;;;S;;S;S;;S;S;;;;;;;;;S;S;S;S;S;S;;;;S;;S;S;S;S;S;;;;;S;;;;S;;;;S;S;;S;;;;;;S;S;;;;;S;;S;;S;;S;S;;S;;S;;S;S;;;;S;;;S;;S;S;S;;;S;;;S;S;;S;S;S;2;2;;;1;1;S;;;10,25;S;12,3;;;;S;S;S;S;4;4;1;;;S;;;;S;;;S;S;S;;4;;4;S;;S;;S;S;S;;S;;S;S;S;S;S;S;S;S;S;;;S;;S;S;S;S;S;S;S;S;S;S;S;;S;S;S;S;S;;S;;S;S;S;S;;S;S;S;S;S;;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;;;S;S;S;;;
