code,group_name,equipment_group,spec_set,detail,type,unit,value_direction,unit_perceived_value,relative_value,is_baseline,is_active,commercial_category,notes
AD_0001,Safety,ADAS,ROA (Rear Occupant Alert),ROA (Rear Occupant Alert),binary,,,400.00,0.00,false,true,Seguranca,vs. none
AD_0002,Safety,ADAS,FCW (Front Collision Warning),FCW (Front Collision Warning),binary,,,1200.00,0.00,false,true,Seguranca,vs. none
AD_0003,Safety,ADAS,FCW Advanced (Front Collision Warning),FCW Advanced (Front Collision Warning),binary,,,1500.00,0.00,false,true,Seguranca,
AD_0004,Safety,ADAS,AEB (Autonomous Emergency Braking),AEB (Autonomous Emergency Braking),binary,,,500.00,0.00,false,true,Seguranca,vs. FCW
AD_0005,Safety,ADAS,AEB Junction Turning (JT),AEB Junction Turning (JT),binary,,,250.00,0.00,false,true,Seguranca,vs. AEB
AD_0006,Safety,ADAS,RCW (Rear Collision Warning System),RCW (Rear Collision Warning System),binary,,,500.00,0.00,false,true,Seguranca,vs. none
AD_0007,Safety,ADAS,RCTA (Rear Cross Traffic Alert),RCTA (Rear Cross Traffic Alert),binary,,,500.00,0.00,false,true,Seguranca,vs. none
AD_0008,Safety,ADAS,RCTB (Rear Cross Traffic Braking),RCTB (Rear Cross Traffic Braking),binary,,,500.00,0.00,false,true,Seguranca,vs. RCTB
AD_0009,Safety,ADAS,ACC (Adaptative Cruise Control),ACC (Adaptative Cruise Control),binary,,,1000.00,0.00,false,true,Seguranca,vs. none
AD_0010,Safety,ADAS,DAI (DAI Leaving Reminder System),DAI (DAI Leaving Reminder System),binary,,,250.00,0.00,false,true,Seguranca,vs. ACC
AD_0011,Safety,ADAS,TJA (Traffic Jam Assist),TJA (Traffic Jam Assist),binary,,,250.00,0.00,false,true,Seguranca,vs. ACC
AD_0012,Safety,ADAS,CSA (Curve Speed-control Assist),CSA (Curve Speed-control Assist),binary,,,250.00,0.00,false,true,Seguranca,vs. ACC
AD_0013,Safety,ADAS,LDW  (Lane Departure Warning System),LDW  (Lane Departure Warning System),binary,,,550.00,0.00,false,true,Seguranca,vs. none
AD_0014,Safety,ADAS,LKA  (Lane Keep Assistance),LKA  (Lane Keep Assistance),binary,,,500.00,0.00,false,true,Seguranca,vs. LKA
AD_0015,Safety,ADAS,LFA (Lane Following Assistance),LFA (Lane Following Assistance),binary,,,250.00,0.00,false,true,Seguranca,vs. LKA
AD_0016,Safety,ADAS,ELK (Emergency lane keeping),ELK (Emergency lane keeping),binary,,,250.00,0.00,false,true,Seguranca,vs. LKA
AD_0017,Safety,ADAS,LCA (Lane Change Assist),LCA (Lane Change Assist),binary,,,250.00,0.00,false,true,Seguranca,vs. LKA
AD_0018,Safety,ADAS,BSD (BSD blind spot monitoring),BSD (BSD blind spot monitoring),binary,,,1000.00,0.00,false,true,Seguranca,vs. none
AD_0019,Safety,ADAS,BCA (Blind Spot Collision Avoidance Assist),BCA (Blind Spot Collision Avoidance Assist),binary,,,500.00,0.00,false,true,Seguranca,vs. BSD
AD_0020,Safety,ADAS,BSM (Blind Spot Monitor),BSM (Blind Spot Monitor),binary,,,500.00,0.00,false,true,Seguranca,vs. none
AD_0021,Safety,ADAS,DOW (Door Open Warning),DOW (Door Open Warning),binary,,,250.00,0.00,false,true,Seguranca,vs. none
AD_0022,Safety,ADAS,SLA (Speed Limit Assist),SLA (Speed Limit Assist),binary,,,1000.00,0.00,false,true,Seguranca,vs. None
AD_0023,Safety,ADAS,DMS (Driver Monitoring System),DMS (Driver Monitoring System),binary,,,500.00,0.00,false,true,Seguranca,vs. none
CO_0001,Convenience,TGS Knob,TGS Knob,SBW (shift by wire),scale,,,0.00,300.00,false,true,Dirigibilidade,vs. regular
CO_0002,Convenience,TGS Knob,TGS Knob,Steering column shift,scale,,,0.00,500.00,false,true,Dirigibilidade,vs. regular
CO_0003,Convenience,TGS Knob,Paddle shifts,Paddle shifts,binary,,,290.00,0.00,false,true,Dirigibilidade,vs. none
CO_0004,Convenience,Drive mode select,Drive mode select,Drive mode select,binary,,,110.00,0.00,false,true,Tecnologia,vs. none
CO_0005,Convenience,Conectivity,Voice recognition control,Voice recognition control,binary,,,240.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0006,Convenience,Conectivity,Multi-zone voice assistant,Multi-zone voice assistant,binary,,,250.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0007,Convenience,Conectivity,Bluetooth,Bluetooth,binary,,,200.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0008,Convenience,Conectivity,Telematics,Telematics,binary,,,1000.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0009,Convenience,Conectivity,Wi-Fi,Wi-Fi,binary,,,500.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0010,Convenience,USB port (Type A),FR,FR,numeric,unit,Positive,90.00,0.00,false,true,Audio & Conectividade,per each
CO_0011,Convenience,USB port (Type A),RR,RR,numeric,unit,Positive,90.00,0.00,false,true,Audio & Conectividade,per each
CO_0012,Convenience,Power Outlet 12V,Central console,Central console,numeric,unit,Positive,60.00,0.00,false,true,Conforto,per each
CO_0013,Convenience,Power Outlet 12V,Luggage ,Luggage ,numeric,unit,Positive,70.00,0.00,false,true,Conforto,per each
CO_0014,Convenience,Wireless Charging Pad,Wireless Charger,Conventional,scale,,,0.00,400.00,false,true,Tecnologia,vs. none
CO_0015,Convenience,Wireless Charging Pad,Wireless Charger,Dual,scale,,,0.00,780.00,false,true,Tecnologia,vs. none
CO_0016,Convenience,Wireless Charging Pad,With cooling,With cooling,binary,,,550.00,0.00,false,true,Tecnologia,vs. none
CO_0017,Convenience,Cluster,Cluster Size,Cluster Size,numeric,inch,Positive,190.00,0.00,false,true,Tecnologia,per inch
CO_0018,Convenience,Cluster,HUD,HUD,binary,,,1610.00,0.00,false,true,Tecnologia,vs. none
CO_0019,Convenience,Touch screen display,Display Screen size,Display Screen size,numeric,inch,Positive,200.00,0.00,false,true,Audio & Conectividade,per inch
CO_0020,Convenience,Touch screen display,Sliding screen,Sliding screen,binary,,,200.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0021,Convenience,Touch screen display,Rotating screen,Rotating screen,binary,,,200.00,0.00,false,true,Audio & Conectividade,vs. none
